decision,tier,university_slug,proposed_slug,program_name,department_school,category,evidence_url,placement_url,faculty_directory_url,notes
,A-verified,berkeley,berkeley-haas-bpp,PhD in Business Administration — Business & Public Policy field (Haas),Haas School of Business,business-econ,https://haas.berkeley.edu/phd/academics/business-public-policy/,https://haas.berkeley.edu/phd/academics/business-public-policy/placement/,https://haas.berkeley.edu/groups/bpp/faculty.html,"All three URLs fetched and verified. Evidence page is the official Haas BPP field page, listed alongside the other Haas PhD fields (Accounting, Finance, Marketing, Real Estate, etc.) and clearly active. Placement page shows named placements 2019-2026 (U Chicago 2026, NYU Abu Dhabi 2025, UIUC 2025, O"
,A-verified,chicago,chicago-booth-econ,PhD in Economics (Chicago Booth Stevens Doctoral Program),University of Chicago Booth School of Business,business-econ,https://www.chicagobooth.edu/phd/dissertation-areas/economics,https://www.chicagobooth.edu/phd/career-outcomes,https://www.chicagobooth.edu/phd/dissertation-areas/economics,"Evidence page fetched: official chicagobooth.edu page describing an active PhD dissertation area in Economics within the Stevens Doctoral Program; fields match the claim. Faculty URL (same page) genuinely shows a roster of 20+ named faculty with titles, so it is acceptable as a faculty directory. Pl"
,A-verified,harvard,harvard-hbs-busecon,PhD in Business Economics (Harvard Business School),Harvard Business School (jointly with the Department of Economics; degree via Harvard Griffin GSAS),business-econ,https://www.hbs.edu/doctoral/phd-programs/business-economics,https://www.hbs.edu/doctoral/placement/business-economics,https://www.hbs.edu/faculty/Pages/browse.aspx?faculty=Current,"Evidence URL fetched: official HBS page, currently-offered PhD, quote: 'The Business Economics program is jointly administered by Harvard Business School and the Department of Economics in the Faculty of Arts and Sciences'; admissions via Harvard Griffin GSAS; no discontinuation mention; lists gradu"
,A-verified,maryland,maryland-smith-managerial-econ,"PhD in Business and Management, Managerial Economics specialization (Smith School)","Department of Logistics, Business & Public Policy, Robert H. Smith School of Business",business-econ,https://www.rhsmith.umd.edu/programs/phd/academics/areas-specialization/managerial-economics-me,https://www.rhsmith.umd.edu/programs/phd/academics/areas-specialization/managerial-economics-me,,"Real, currently offered area of specialization within the Smith School PhD — confirmed on both the ME specialization page and the Smith PhD overview page (rhsmith.umd.edu/programs/phd), which lists Managerial Economics among nine areas of specialization across six academic departments. It is a speci"
,A-verified,northwestern,northwestern-kellogg-mecs,PhD in Managerial Economics & Strategy (MECS),Kellogg School of Management (joint: Managerial Economics & Decision Sciences (MEDS) and Strategy departments),business-econ,https://www.kellogg.northwestern.edu/doctoral/programs/managerialeconomicsstrategy/,https://www.kellogg.northwestern.edu/doctoral/placement/jobplacement/,,"Evidence URL verified: official Kellogg page describes a currently-offered 'PhD in Managerial Economics & Strategy (MECS)' offered jointly by the MEDS and Strategy departments; research areas are explicitly economics (game theory, IO, mechanism/market design, health economics, political economy, dev"
,A-verified,nyu,nyu-stern-econ,PhD in Economics (Stern School of Business),"Stern School of Business, Department of Economics",business-econ,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/academic-departments/economics/academic-programs/phd,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/academic-departments/economics/academic-programs/phd/placements,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/academic-departments/economics/people/faculty,"All three URLs fetched and verified 2026-07-14. Evidence page is an official Stern page describing a currently-offered Economics PhD (active Apply link, current-students and job-market-candidate pages, curriculum built on 'the standard economics PhD core -- micro, macro, and econometrics'; contact P"
,A-verified,stanford,stanford-gsb-eap,"PhD in Business Administration, Economic Analysis & Policy field (Stanford GSB)",Stanford Graduate School of Business,business-econ,https://www.gsb.stanford.edu/programs/phd/fields/economic-analysis-policy,https://www.gsb.stanford.edu/programs/phd/placement/academic-placements,https://www.gsb.stanford.edu/faculty-research/faculty,"Fetched all three URLs. Evidence page is official (gsb.stanford.edu), currently live, field name exactly 'Economic Analysis & Policy', and states the field 'prepares students for research careers in economics'; lists active faculty (Akbarpour, Athey, Imbens, Jones, et al.). Placement page verified: "
,A-verified,stanford,stanford-gsb-poliecon,"PhD in Business Administration, Political Economics field (Stanford GSB)",Stanford Graduate School of Business,business-econ,https://www.gsb.stanford.edu/programs/phd/fields/political-economics,https://www.gsb.stanford.edu/programs/phd/placement/academic-placements,https://www.gsb.stanford.edu/faculty-research/faculty,"Fetched all three URLs. Evidence page is official, live, and describes an actively offered GSB PhD field named exactly 'Political Economics'; training combines 'economic theory, econometrics, game theory' with political theory/institutions, grounded in positive political economy. Placement page veri"
,A-verified,ucla,ucla-anderson-gem,PhD in Management - Global Economics and Management (GEM),UCLA Anderson School of Management,business-econ,https://www.anderson.ucla.edu/degrees/phd-program/areas-of-study/global-economics-and-management,https://www.anderson.ucla.edu/degrees/phd-program/placement,https://www.anderson.ucla.edu/degrees/phd-program/areas-of-study/global-economics-and-management/faculty,All three URLs fetched and verified. Evidence page is an official Anderson page describing GEM as one of eight areas of study in the Anderson PhD program; the page itself states 'The Ph.D. Program in Economics is designed for scholars aiming at careers in top academic institutions' with emphasis on 
,A-verified,upenn,upenn-wharton-appecon,PhD in Applied Economics (Wharton),The Wharton School — Departments of Business Economics & Public Policy and Real Estate (jointly run),business-econ,https://doctoral.wharton.upenn.edu/programs-of-study/applied-economics/,https://doctoral.wharton.upenn.edu/career-placement/,https://bepp.wharton.upenn.edu/programs/phd/applied-economics-faculty/,Evidence URL is a live official Wharton Doctoral Programs page describing a currently-offered standalone 'PhD in Applied Economics' that 'combin[es] the faculties of the departments of Real Estate and Business Economics & Public Policy' — name and joint-department claim both check out. Faculty URL i
